App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceNOToperator
vaadin/framework,894d70662a4df8c5072ffe6c63426896632ab98e,"7.7.0.alpha2, 7.7.0.alpha3",server.src.test.java.com.vaadin.tests.data.converter.DefaultConverterFactoryTest.java,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,12,0,54,13,13,18,17,0.31,2,2,2,1,1,0,100.0,3,3,3,1,1,1,False
vaadin/framework,3e8f028817582a77ec3654b1f8f99136f327cc70,"7.7.3, 7.7.4",uitest.src.test.java.com.vaadin.tests.components.combobox.ComboBoxSelectingWithNewItemsAllowedTest.java,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,16,0,192,33,51,116,47,0.24,8,8,8,1,1,0,100.0,10,10,10,2,2,2,False
vaadin/framework,3e8f028817582a77ec3654b1f8f99136f327cc70,"7.7.3, 7.7.4",uitest.src.test.java.com.vaadin.tests.components.tree.TreeHtmlContentAllowedTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,29,3,4,24,11,0.38,13,13,13,1,1,0,100.0,17,17,17,4,4,4,False
vaadin/framework,4c450752a112f5fafb47b074169db7a133cda3ee,"7.7.7, 7.7.8",server.src.test.java.com.vaadin.tests.server.component.fieldgroup.BeanFieldGroupTest.java,6,2,0,0,0,0,1,0,0,0,0,2,0,0,3.0,6.0,0,0,0,0,6,0,35,1,1,2,3,0.09,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
vaadin/framework,4c450752a112f5fafb47b074169db7a133cda3ee,"7.7.7, 7.7.8",server.src.test.java.com.vaadin.tests.data.converter.ConverterFactoryTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,58,5,10,15,3,0.05,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
vaadin/framework,0b28903d785ad7a44e9796823d82302cf44c064b,"7.7.9, 7.7.10",uitest.src.test.java.com.vaadin.tests.application.MissingHierarchyDetectionTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,17,1,3,12,6,0.35,4,4,4,1,1,0,100.0,7,7,7,3,3,3,False
vaadin/framework,0b28903d785ad7a44e9796823d82302cf44c064b,"7.7.9, 7.7.10",server.src.test.java.com.vaadin.util.CurrentInstanceTest.java,14,3,2,0,0,1,9,0,0,0,0,0,0,2,8.0,29.0,1,1,0,0,10,0,136,18,42,69,26,0.19,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
vaadin/framework,8fd0d57f4441cc74e69453377b33102182c43cf5,"7.7.11, 7.7.12",uitest.src.test.java.com.vaadin.tests.components.window.BackspaceKeyWithModalOpenedTest.java,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,3,0,44,6,14,24,2,0.05,6,6,6,1,1,0,100.0,7,7,7,1,1,1,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.upload.InterruptUploadTest.java,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0,0.0,1,0,0,1,1,0,64,7,18,37,2,0.03,3,20,2,2,2,0,63.86,43,25,22,40,35,20,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.tooltip.StationaryTooltipTest.java,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,22,4,9,17,2,0.09,-20,-20,-20,1,1,0,100.0,13,13,13,33,33,33,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.tooltip.AdjacentElementsWithTooltipsTest.java,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,23,3,7,17,3,0.13,-5,-5,-5,1,1,0,100.0,11,11,11,16,16,16,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.ui.WindowAndUIShortcutsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,18,2,3,25,3,0.17,4,4,4,1,1,0,100.0,15,15,15,11,11,11,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.table.ColumnCollapsingAndColumnExpansionTest.java,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0,47,3,9,26,4,0.09,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarTooltipsNearEdgeTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,15,1,3,18,3,0.2,-3,-3,-3,1,1,0,100.0,18,18,18,21,21,21,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarSubmenusClosingValoTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,25,2,3,21,2,0.08,-1,-1,-1,1,1,0,100.0,6,6,6,7,7,7,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.application.WebBrowserTimeZoneTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,13,2,4,15,3,0.23,9,9,9,1,1,0,100.0,15,15,15,6,6,6,False
vaadin/framework,274dd18668f1ef253dd824f6463412f9d0a1e73e,"7.7.14, 7.7.15",uitest.src.test.java.com.vaadin.tests.application.ReconnectDialogUITest.java,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,44,7,12,35,4,0.09,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
vaadin/framework,f1d5ddcf597caccfc2cc77f66f116754cf6105a5,"7.7.15, 7.7.16",uitest.src.test.java.com.vaadin.tests.requesthandlers.AppResource404Test.java,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0,39,5,8,40,5,0.13,3,3,3,1,1,0,100.0,6,6,6,3,3,3,False
vaadin/framework,f1d5ddcf597caccfc2cc77f66f116754cf6105a5,"7.7.15, 7.7.16",uitest.src.test.java.com.vaadin.tests.components.menubar.MenuBarIconsTest.java,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,44,4,5,32,16,0.36,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.combobox.ComboboxPageLengthZeroFilterTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,12,2,3,10,1,0.08,2,2,2,1,1,0,100.0,3,3,3,1,1,1,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",server.src.test.java.com.vaadin.server.VaadinPortletServiceTest.java,22,0,0,0,0,0,1,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,11,0,116,22,29,78,11,0.09,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.contextclick.TreeContextClickTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,27,3,4,33,4,0.15,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.ui.TextAreaEventPropagationTest.java,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,0,53,4,11,33,5,0.09,2,2,2,1,1,0,100.0,6,6,6,4,4,4,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.tree.TreeHtmlContentAllowedTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,30,3,5,29,11,0.37,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.grid.GridHeightTest.java,10,0,1,0,0,0,3,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,3,0,123,10,31,47,9,0.07,1,1,1,1,1,0,100.0,7,7,7,6,6,6,False
vaadin/framework,a279e1d424ade4608c10e56d3311ac4da3c76630,"7.7.18, 7.7.21",uitest.src.test.java.com.vaadin.tests.components.abstractcomponent.ContextClickUITest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,18,3,6,24,2,0.11,1,1,1,1,1,0,100.0,5,5,5,4,4,4,False
vaadin/framework,b4f011230fd5c9d56a0dd7ad7c00c584e25ee990,"7.7.22, 7.7.23",server.src.test.java.com.vaadin.tests.data.converter.LocalDateTimeToDateConverterTest.java,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,4,0,45,6,10,29,5,0.11,9,9,9,1,1,0,100.0,10,10,10,1,1,1,False
vaadin/framework,b4f011230fd5c9d56a0dd7ad7c00c584e25ee990,"7.7.22, 7.7.23",uitest.src.test.java.com.vaadin.tests.components.table.HeaderFooterClickLeftRightMiddleTest.java,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,44,5,10,32,8,0.18,17,17,17,1,1,0,100.0,31,31,31,14,14,14,False
vaadin/framework,9c6d8454800034d4eaed81c855b667567cf496d9,"7.7.24, 7.7.25",uitest.src.test.java.com.vaadin.tests.requesthandlers.AppResource404Test.java,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0,39,5,7,38,6,0.15,2,2,2,1,1,0,100.0,7,7,7,5,5,5,False
vaadin/framework,9c6d8454800034d4eaed81c855b667567cf496d9,"7.7.24, 7.7.25",uitest.src.test.java.com.vaadin.tests.components.ui.TextAreaEventPropagationTest.java,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,4,0,56,4,10,45,10,0.18,11,11,11,1,1,0,100.0,36,36,36,25,25,25,False
vaadin/framework,9c6d8454800034d4eaed81c855b667567cf496d9,"7.7.24, 7.7.25",uitest.src.test.java.com.vaadin.tests.components.tree.TreeItemDoubleClickTest.java,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,38,5,11,21,7,0.18,11,11,11,1,1,0,100.0,15,15,15,4,4,4,False
vaadin/framework,9c6d8454800034d4eaed81c855b667567cf496d9,"7.7.24, 7.7.25",uitest.src.test.java.com.vaadin.tests.components.combobox.ComboboxMenuBarAutoopenTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,39,5,8,34,3,0.08,10,10,10,1,1,0,100.0,24,24,24,14,14,14,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",server.src.test.java.com.vaadin.ui.ComponentTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,45,4,13,18,0,0.0,90,98,45,2,2,0,74.24,111,98,56,21,21,10,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",server.src.test.java.com.vaadin.ui.AbstractListingTest.java,9,0,0,0,0,0,0,5,0,0,0,0,0,0,3.0,9.0,0,0,0,0,8,0,90,9,13,40,11,0.12,0,1,0,2,2,0,64.29,7,5,4,7,4,4,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",server.src.test.java.com.vaadin.server.data.datasource.ListDataSourceTest.java,10,6,3,0,0,0,0,0,0,0,0,0,0,0,8.0,26.0,0,0,0,0,9,0,106,10,17,95,25,0.24,90,90,90,1,1,0,100.0,92,92,92,2,2,2,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",server.src.test.java.com.vaadin.data.BinderTest.java,18,3,0,0,0,0,2,0,0,0,0,0,0,0,8.0,25.0,1,0,0,0,16,0,112,18,29,72,19,0.17,-885,110,-148,6,3,1,70.13,413,208,69,1298,1167,216,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",uitest.src.test.java.com.vaadin.tests.contextclick.GridContextClickTest.java,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,3,0,36,5,6,30,7,0.19,1,1,0,2,2,0,89.47,10,9,5,9,8,4,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",server.src.test.java.com.vaadin.data.BeanBinderTest.java,18,0,0,0,0,0,1,0,0,0,0,0,0,0,10.0,32.0,0,0,0,0,16,0,96,18,30,61,15,0.16,-7,1,-4,2,2,0,86.79,23,19,12,30,27,15,False
vaadin/framework,a6fd8bd06368da27bb97528da4a2cd7f864ea6d2,"8.0.0.alpha1, 8.0.0.alpha2",uitest.src.test.java.com.vaadin.tests.components.combobox.ComboBoxSelectingTest.java,23,4,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,12,0,140,25,38,80,21,0.15,4,4,4,1,1,0,100.0,6,6,6,2,2,2,False
vaadin/framework,c4b17ca879c0bb51c7da390fcbd25c96b73486fb,"8.0.0.alpha2, 8.0.0.alpha3",uitest.src.test.java.com.vaadin.tests.components.datefield.PopupDateFieldInputPromptTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,35,5,11,21,3,0.09,-1,-1,-1,1,1,0,100.0,4,4,4,5,5,5,False
vaadin/framework,c4b17ca879c0bb51c7da390fcbd25c96b73486fb,"8.0.0.alpha2, 8.0.0.alpha3",uitest.src.test.java.com.vaadin.tests.components.datefield.DateFieldDayResolutionOffsetTest.java,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,21,3,7,18,1,0.05,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
vaadin/framework,c4b17ca879c0bb51c7da390fcbd25c96b73486fb,"8.0.0.alpha2, 8.0.0.alpha3",uitest.src.test.java.com.vaadin.tests.components.grid.GridClickableRenderersTest.java,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,28,3,3,20,7,0.25,16,16,16,1,1,0,100.0,21,21,21,5,5,5,False
vaadin/framework,0fa0160eb992ca68cf3bddffdfc838099c26e5f4,"8.0.0.alpha3, 8.0.0.alpha4",server.src.test.java.com.vaadin.server.data.AbstractDataSourceTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,0,0,0,2,0,32,2,4,11,3,0.09,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
vaadin/framework,0fa0160eb992ca68cf3bddffdfc838099c26e5f4,"8.0.0.alpha3, 8.0.0.alpha4",server.src.test.java.com.vaadin.tests.server.navigator.NavigatorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,565,35,68,195,33,0.06,2,2,2,1,1,0,100.0,3,3,3,1,1,1,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.data.ValidatorTest.java,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,0,29,3,3,12,6,0.21,-17,28,-6,3,2,0,91.21,37,29,12,54,48,18,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.ui.RichTextAreaTest.java,8,2,0,0,0,0,1,0,0,0,0,0,0,0,4.0,15.0,0,0,0,0,7,0,53,8,14,38,8,0.15,3,4,2,2,2,0,54.55,7,5,4,4,3,2,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.ui.AbstractSingleSelectTest.java,13,10,0,0,0,0,0,12,0,0,0,0,0,0,11.0,38.0,0,2,0,0,12,0,158,16,24,116,47,0.3,120,115,40,3,1,0,100.0,137,125,46,17,10,6,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.ui.AbstractMultiSelectTest.java,16,5,0,0,0,0,0,8,0,0,0,0,0,0,6.0,25.0,3,1,0,0,8,0,192,20,32,80,49,0.26,120,115,40,3,1,0,100.0,128,115,43,8,7,3,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.ui.AbstractFieldTest.java,9,0,0,0,0,0,0,4,0,0,0,0,0,0,6.0,19.0,0,2,0,0,6,0,69,9,15,40,9,0.13,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.event.selection.SelectionEventTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,25,2,4,26,4,0.16,69,68,34,2,1,0,100.0,70,68,35,1,1,0,False
vaadin/framework,de98281e5c37598454c79c7673fb11ada13eea33,"8.0.0.alpha5, 8.0.0.alpha6",server.src.test.java.com.vaadin.tests.data.converter.ConverterTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,9,1,1,4,2,0.22,0,0,0,2,2,0,57.14,7,4,4,7,4,4,False
vaadin/framework,49b766285f4e6cbc81e85847cc5a0078665f05ce,"8.0.0.alpha6, 8.0.0.alpha7",uitest.src.test.java.com.vaadin.tests.data.DummyDataTest.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,5,0,36,6,7,37,11,0.31,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
vaadin/framework,49b766285f4e6cbc81e85847cc5a0078665f05ce,"8.0.0.alpha6, 8.0.0.alpha7",server.src.test.java.com.vaadin.ui.AbstractListingTest.java,9,0,0,0,0,0,0,5,0,0,0,0,0,0,3.0,9.0,0,0,0,0,8,0,87,9,13,40,11,0.13,-4,0,-2,2,2,0,90.48,19,19,10,23,19,12,False
vaadin/framework,49b766285f4e6cbc81e85847cc5a0078665f05ce,"8.0.0.alpha6, 8.0.0.alpha7",server.src.test.java.com.vaadin.server.data.DataCommunicatorTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,0,0,0,0,2,0,60,2,3,13,4,0.07,0,0,0,2,2,0,93.33,15,14,8,15,14,8,False
vaadin/framework,49b766285f4e6cbc81e85847cc5a0078665f05ce,"8.0.0.alpha6, 8.0.0.alpha7",server.src.test.java.com.vaadin.ui.AbstractSingleSelectTest.java,11,9,0,0,0,0,0,5,0,0,0,0,0,0,10.0,55.0,2,1,0,0,10,0,124,13,18,85,41,0.33,-55,0,-18,3,3,1,60.1,74,53,25,129,69,43,False
