App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isMoveAttribute
mybatis-flex/mybatis-flex,42dbdefd5bbf8343579f0ac9851a3866c9bf7fc8,"v1.0.3, v1.0.4",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,25,1,1,17,0,0.0,72,64,18,4,1,0,100.0,78,64,20,6,3,2,False
mybatis-flex/mybatis-flex,ef99cae37495c27133f637e5748fbf0ee0e1d307,"v1.2.0, v1.2.1",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,35,1,1,27,0,0.0,7,6,4,2,2,0,58.82,12,8,6,5,3,2,False
mybatis-flex/mybatis-flex,11fe36ad980a36ede3aa2081d6b70d2851f2dc3e,"v1.2.4, v1.2.5",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,2,0,55,2,2,43,0,0.0,-1,-1,-1,1,1,0,100.0,1,1,1,2,2,2,False
mybatis-flex/mybatis-flex,ab2646f377835de07d6e83517d219b4034cecd6f,"v1.3.0, v1.3.1",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,2,0,52,2,2,51,0,0.0,0,1,0,2,1,0,100.0,2,1,1,2,2,1,False
mybatis-flex/mybatis-flex,9b08c9a7c593455d04272bc8de8db7a7d62575ec,"v1.3.4, v1.3.5",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,2,0,52,2,2,52,0,0.0,3,4,2,2,2,0,76.92,8,7,4,5,3,2,False
mybatis-flex/mybatis-flex,04eb9094d8d565c348e4b24c696ebd24274bfb46,"v1.3.6, v1.3.7",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,2,0,51,2,2,50,0,0.0,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
mybatis-flex/mybatis-flex,96f911e6de1dc7c514bf9ffed31b0c2c80e4a173,"v1.3.7, v1.3.8",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,2,0,49,2,2,48,0,0.0,-1,0,0,2,1,0,100.0,8,7,4,9,7,4,False
mybatis-flex/mybatis-flex,9535d854954a35315dd1edf1999d0fdd49f8655c,"v1.4.6, v1.4.7",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,3,0,72,3,3,77,0,0.0,66,67,33,2,2,1,95.95,70,69,35,4,2,2,False
mybatis-flex/mybatis-flex,f4ccce5c7a7e1f2dc909e74d018703fa0a487b87,"v1.4.7, v1.4.8",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,3,0,74,3,3,78,0,0.0,4,4,4,1,1,0,100.0,7,7,7,3,3,3,False
mybatis-flex/mybatis-flex,b7d866d6f5734de7a476eb5a198c6270324414c1,"v1.4.8, v1.4.9",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,3,0,74,3,3,78,0,0.0,-1,-1,-1,1,1,0,100.0,1,1,1,2,2,2,False
mybatis-flex/mybatis-flex,a928119b40c9316c1274ff7338d375cdd39b739e,"v1.4.9, v1.5.0",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,3,0,0,3,0,76,3,3,83,0,0.0,8,6,1,6,3,1,89.53,47,31,8,39,29,6,False
mybatis-flex/mybatis-flex,47b4fada3e445ca661c3d1bd861fc223d1d7b267,"v1.5.3, v1.5.4",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,0,4,0,0,4,0,94,5,6,103,0,0.0,46,42,15,3,1,0,100.0,55,43,18,9,6,3,False
mybatis-flex/mybatis-flex,09d649d296451d77ac5776838bb765ff7496158c,"v1.5.6, v1.5.7",mybatis-flex-codegen.src.test.java.com.mybatisflex.codegen.test.GeneratorTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,6.0,0,4,0,0,4,0,98,5,6,108,0,0.0,-1,-1,-1,1,1,0,100.0,2,2,2,3,3,3,False
